input_file,status,original_n,final_n,final_m,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae
manhattan_n50_k5_d2_s6.csv,OK,5,10,12,5,130.0,0.002244,0.0,0,1,0.0
manhattan_n50_k5_d2_s7.csv,OK,5,9,9,4,66.0,0.001475,0.0,0,1,0.0
manhattan_n50_k5_d2_s8.csv,OK,5,7,7,2,92.0,0.000681,0.0,0,1,0.0
manhattan_n50_k5_d2_s9.csv,OK,5,8,9,3,68.0,0.000813,0.0,0,1,0.0
manhattan_n50_k5_d2_s10.csv,OK,5,12,15,7,141.0,0.003844,0.0,0,1,0.0

manhattan_n50_k10_d2_s1.csv,OK,10,39,61,29,300.0,0.426180,0.0,0,1,0.0
manhattan_n50_k10_d2_s2.csv,OK,10,55,91,45,487.0,1.238281,0.0,0,1,0.0
manhattan_n50_k10_d2_s3.csv,OK,10,46,74,36,433.0,0.711392,0.0,0,1,0.0
manhattan_n50_k10_d2_s4.csv,OK,10,42,68,32,216.0,0.466507,0.0,0,1,0.0
manhattan_n50_k10_d2_s5.csv,OK,10,37,55,27,326.0,0.313022,0.0,0,1,0.0
manhattan_n50_k10_d2_s6.csv,OK,10,47,75,37,446.0,0.859641,0.0,0,1,0.0
manhattan_n50_k10_d2_s7.csv,OK,10,36,54,26,173.0,0.363171,0.0,0,1,0.0
manhattan_n50_k10_d2_s8.csv,OK,10,52,86,42,409.0,1.027011,0.0,0,1,0.0
manhattan_n50_k10_d2_s9.csv,OK,10,43,70,33,412.0,0.677254,0.0,0,1,0.0
manhattan_n50_k10_d2_s10.csv,OK,10,46,76,36,434.0,0.812280,0.0,0,1,0.0

manhattan_n50_k20_d2_s1.csv,OK,20,149,268,129,777.0,75.310970,0.0,0,1,0.0
manhattan_n50_k20_d2_s2.csv,OK,20,208,382,188,1142.0,331.001225,0.0,0,1,0.0
manhattan_n50_k20_d2_s3.csv,OK,20,170,309,150,988.0,203.676277,0.0,0,1,0.0
manhattan_n50_k20_d2_s4.csv,OK,20,146,259,126,588.0,94.180633,0.0,0,1,0.0
manhattan_n50_k20_d2_s5.csv,OK,20,190,347,170,998.0,236.537345,0.0,0,1,0.0
manhattan_n50_k20_d2_s6.csv,OK,20,189,343,169,1033.0,246.065937,0.0,0,1,0.0
manhattan_n50_k20_d2_s7.csv,OK,20,205,376,185,902.0,342.070401,0.0,0,1,0.0
manhattan_n50_k20_d2_s8.csv,OK,20,171,309,151,952.0,131.162333,0.0,0,1,0.0
manhattan_n50_k20_d2_s9.csv,OK,20,191,349,171,1053.0,273.036653,0.0,0,1,0.0
manhattan_n50_k20_d2_s10.csv,OK,20,147,264,127,848.0,70.325402,0.0,0,1,0.0

manhattan_n50_k40_d2_s1.csv,TIMEOUT,,,,,,600.000586,,,,
manhattan_n50_k40_d2_s2.csv,TIMEOUT,,,,,,600.000062,,,,
manhattan_n50_k40_d2_s3.csv,TIMEOUT,,,,,,600.000132,,,,
manhattan_n50_k40_d2_s4.csv,TIMEOUT,,,,,,600.000009,,,,
manhattan_n50_k40_d2_s5.csv,TIMEOUT,,,,,,600.000156,,,,
manhattan_n50_k40_d2_s6.csv,TIMEOUT,,,,,,600.000099,,,,
manhattan_n50_k40_d2_s7.csv,TIMEOUT,,,,,,600.000044,,,,
manhattan_n50_k40_d2_s8.csv,TIMEOUT,,,,,,600.000386,,,,
manhattan_n50_k40_d2_s9.csv,TIMEOUT,,,,,,600.000133,,,,
manhattan_n50_k40_d2_s10.csv,TIMEOUT,,,,,,600.000173,,,,


manhattan_n10_k5_d2_base.csv,OK,5,11,13,6,27.0,0.002968,0.0,0,1,0.0
manhattan_n10_k5_d2_add1.csv,OK,6,16,21,10,46.0,0.013188,0.0,0,1,0.0
manhattan_n10_k5_d2_add2.csv,OK,7,46,83,39,109.0,0.832604,0.0,0,1,0.0
manhattan_n10_k5_d2_add3.csv,OK,8,47,84,39,117.0,0.914482,0.0,0,1,0.0
manhattan_n10_k5_d2_add4.csv,OK,9,144,370,135,397.0,68.696231,0.0,0,1,0.0
manhattan_n10_k5_d2_add5.csv,OK,10,146,373,136,400.0,72.968818,0.0,0,1,0.0
manhattan_n10_k5_d2_add6.csv,OK,11,150,382,139,407.0,80.735717,0.0,0,1,0.0
manhattan_n10_k5_d2_add7.csv,OK,12,208,563,196,611.0,288.757436,0.0,0,1,0.0
manhattan_n10_k5_d2_add8.csv,TIMEOUT,,,,,,600.000037,,,,
manhattan_n10_k5_d2_add9.csv,TIMEOUT,,,,,,600.000053,,,,
manhattan_n10_k5_d2_add10.csv,TIMEOUT,,,,,,600.000046,,,,

manhattan_n10_k10_d2_base.csv,OK,10,24,34,14,52.0,0.067925,0.0,0,1,0.0
manhattan_n10_k10_d2_add1.csv,OK,11,30,44,19,62.0,0.148361,0.0,0,1,0.0
manhattan_n10_k10_d2_add2.csv,OK,12,34,51,22,75.0,0.231554,0.0,0,1,0.0
manhattan_n10_k10_d2_add3.csv,OK,13,127,310,114,318.0,49.960524,0.0,0,1,0.0
manhattan_n10_k10_d2_add4.csv,OK,14,130,316,116,323.0,54.568777,0.0,0,1,0.0
manhattan_n10_k10_d2_add5.csv,OK,15,159,397,144,412.0,136.616466,0.0,0,1,0.0
manhattan_n10_k10_d2_add6.csv,TIMEOUT,,,,,,600.000134,,,,
manhattan_n10_k10_d2_add7.csv,TIMEOUT,,,,,,600.000179,,,,

manhattan_n10_k20_d2_base.csv,OK,20,58,98,38,105.0,1.997390,0.0,0,1,0.0
manhattan_n10_k20_d2_add1.csv,OK,21,59,99,38,110.0,2.136902,0.0,0,1,0.0
manhattan_n10_k20_d2_add2.csv,OK,22,60,100,38,119.0,2.228642,0.0,0,1,0.0
manhattan_n10_k20_d2_add3.csv,OK,23,90,166,67,190.0,16.852932,0.0,0,1,0.0
manhattan_n10_k20_d2_add4.csv,OK,24,192,508,168,518.0,345.444954,0.0,0,1,0.0
manhattan_n10_k20_d2_add5.csv,OK,25,202,527,177,536.0,419.897065,0.0,0,1,0.0
manhattan_n10_k20_d2_add6.csv,OK,26,219,591,193,600.0,572.044795,0.0,0,1,0.0
manhattan_n10_k20_d2_add7.csv,TIMEOUT,,,,,,600.000011,,,,
manhattan_n10_k20_d2_add8.csv,TIMEOUT,,,,,,600.000108,,,,

manhattan_n50_k5_d2_base.csv,OK,5,7,7,2,72.0,0.000523,0.0,0,1,0.0
manhattan_n50_k5_d2_add1.csv,OK,6,12,14,6,156.0,0.003855,0.0,0,1,0.0
manhattan_n50_k5_d2_add2.csv,OK,7,143,350,136,724.0,63.288949,0.0,0,1,0.0
manhattan_n50_k5_d2_add3.csv,OK,8,152,365,144,783.0,81.281245,0.0,0,1,0.0
manhattan_n50_k5_d2_add4.csv,TIMEOUT,,,,,,600.000054,,,,
manhattan_n50_k5_d2_add5.csv,TIMEOUT,,,,,,600.000131,,,,

manhattan_n50_k10_d2_base.csv,OK,10,39,61,29,300.0,0.462952,0.0,0,1,0.0
manhattan_n50_k10_d2_add1.csv,OK,11,48,77,37,355.0,1.097973,0.0,0,1,0.0
manhattan_n50_k10_d2_add2.csv,OK,12,71,121,59,605.0,5.794971,0.0,0,1,0.0
manhattan_n50_k10_d2_add3.csv,TIMEOUT,,,,,,600.000037,,,,
manhattan_n50_k10_d2_add4.csv,TIMEOUT,,,,,,600.000259,,,,
manhattan_n50_k10_d2_add5.csv,TIMEOUT,,,,,,600.000304,,,,

manhattan_n50_k20_d2_base.csv,OK,20,149,268,129,777.0,74.816694,0.0,0,1,0.0
manhattan_n50_k20_d2_add1.csv,OK,21,157,282,136,824.0,89.343142,0.0,0,1,0.0
manhattan_n50_k20_d2_add2.csv,OK,22,168,302,146,896.0,115.283969,0.0,0,1,0.0
manhattan_n50_k20_d2_add3.csv,TIMEOUT,,,,,,600.000092,,,,
manhattan_n50_k20_d2_add4.csv,TIMEOUT,,,,,,600.000103,,,,
manhattan_n50_k20_d2_add5.csv,TIMEOUT,,,,,,600.000016,,,,

