,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36
m3,20.0,11.0,40.0,58.0,25.0,63.0,32.0,50.0,22.0,12.0,14.0,1.0,16.0,0.0,38.0,22.0,22.0,39.0,26.0,23.0,43.0,32.0,13.0,32.0,16.0,18.0,26.0,10.0,10.0,9.0,30.0,19.0,41.0,57.0,44.0,24.0,61.0,41.0,34.0,28.0,62.0,35.0,22.0,19.0,28.0,45.0,39.0
m4,18.0,49.0,2.0,32.0,31.0,37.0,68.0,24.0,28.0,50.0,24.0,37.0,22.0,38.0,0.0,16.0,20.0,49.0,36.0,33.0,53.0,42.0,49.0,6.0,22.0,24.0,62.0,28.0,46.0,47.0,66.0,55.0,15.0,31.0,18.0,18.0,35.0,47.0,40.0,34.0,36.0,53.0,40.0,37.0,46.0,51.0,57.0
m5,2.0,33.0,18.0,48.0,15.0,53.0,52.0,40.0,12.0,34.0,8.0,21.0,6.0,22.0,16.0,0.0,4.0,33.0,20.0,17.0,37.0,26.0,33.0,22.0,6.0,8.0,46.0,12.0,30.0,31.0,50.0,39.0,31.0,47.0,34.0,2.0,51.0,31.0,24.0,18.0,52.0,37.0,24.0,21.0,30.0,35.0,41.0
m6,2.0,33.0,18.0,52.0,19.0,57.0,52.0,44.0,8.0,34.0,8.0,21.0,6.0,22.0,20.0,4.0,0.0,33.0,20.0,17.0,37.0,26.0,33.0,26.0,10.0,4.0,46.0,12.0,30.0,31.0,50.0,39.0,35.0,51.0,38.0,2.0,55.0,35.0,28.0,22.0,56.0,37.0,24.0,21.0,30.0,39.0,41.0
m7,31.0,50.0,51.0,19.0,18.0,24.0,19.0,25.0,41.0,27.0,25.0,38.0,35.0,39.0,49.0,33.0,33.0,0.0,13.0,16.0,4.0,7.0,26.0,43.0,27.0,37.0,13.0,29.0,29.0,30.0,17.0,20.0,34.0,18.0,31.0,35.0,22.0,2.0,9.0,15.0,23.0,4.0,17.0,20.0,11.0,6.0,8.0
m8,18.0,37.0,38.0,32.0,5.0,37.0,32.0,24.0,28.0,14.0,12.0,25.0,22.0,26.0,36.0,20.0,20.0,13.0,0.0,3.0,17.0,6.0,13.0,30.0,14.0,24.0,26.0,16.0,16.0,17.0,30.0,19.0,21.0,31.0,18.0,22.0,35.0,15.0,8.0,2.0,36.0,17.0,4.0,7.0,10.0,19.0,21.0
m9,15.0,34.0,35.0,35.0,2.0,40.0,35.0,27.0,25.0,17.0,9.0,22.0,19.0,23.0,33.0,17.0,17.0,16.0,3.0,0.0,20.0,9.0,16.0,27.0,11.0,21.0,29.0,13.0,13.0,14.0,33.0,22.0,18.0,34.0,21.0,19.0,38.0,18.0,11.0,5.0,39.0,20.0,7.0,4.0,13.0,22.0,24.0
m10,35.0,54.0,55.0,23.0,22.0,20.0,15.0,29.0,45.0,31.0,29.0,42.0,39.0,43.0,53.0,37.0,37.0,4.0,17.0,20.0,0.0,11.0,30.0,47.0,31.0,41.0,17.0,33.0,33.0,34.0,13.0,24.0,38.0,22.0,35.0,39.0,18.0,6.0,13.0,19.0,19.0,8.0,21.0,24.0,15.0,2.0,4.0
m11,24.0,43.0,44.0,26.0,11.0,31.0,26.0,18.0,34.0,20.0,18.0,31.0,28.0,32.0,42.0,26.0,26.0,7.0,6.0,9.0,11.0,0.0,19.0,36.0,20.0,30.0,20.0,22.0,22.0,23.0,24.0,13.0,27.0,25.0,24.0,28.0,29.0,9.0,2.0,8.0,30.0,11.0,10.0,13.0,4.0,13.0,15.0
m12,31.0,24.0,51.0,45.0,18.0,50.0,19.0,37.0,33.0,1.0,25.0,12.0,27.0,13.0,49.0,33.0,33.0,26.0,13.0,16.0,30.0,19.0,0.0,43.0,27.0,29.0,13.0,21.0,3.0,4.0,17.0,6.0,34.0,44.0,31.0,35.0,48.0,28.0,21.0,15.0,49.0,22.0,9.0,12.0,15.0,32.0,26.0
m13,24.0,43.0,8.0,26.0,25.0,31.0,62.0,18.0,34.0,44.0,18.0,31.0,28.0,32.0,6.0,22.0,26.0,43.0,30.0,27.0,47.0,36.0,43.0,0.0,16.0,30.0,56.0,22.0,40.0,41.0,60.0,49.0,9.0,25.0,12.0,24.0,29.0,41.0,34.0,28.0,30.0,47.0,34.0,31.0,40.0,45.0,51.0
m14,8.0,27.0,24.0,42.0,9.0,47.0,46.0,34.0,18.0,28.0,2.0,15.0,12.0,16.0,22.0,6.0,10.0,27.0,14.0,11.0,31.0,20.0,27.0,16.0,0.0,14.0,40.0,6.0,24.0,25.0,44.0,33.0,25.0,41.0,28.0,8.0,45.0,25.0,18.0,12.0,46.0,31.0,18.0,15.0,24.0,29.0,35.0
