input_file,status,added_vertices,total_length,exec_time_sec,max_rel_error_abs,max_error_pair_i,max_error_pair_j,mae
manhattan_n50_k80_d2_s9.csv,OK,1385,3497,148.311059,0,v1,v2,0
manhattan_n50_k80_d2_s10.csv,OK,1210,2988,104.649180,0,v1,v2,0

manhattan_n50_k100_d2_s1.csv,OK,1441,3470,183.217765,0,v1,v2,0
manhattan_n50_k100_d2_s2.csv,OK,1551,3772,219.619124,0,v1,v2,0
manhattan_n50_k100_d2_s3.csv,OK,1378,3414,162.231773,0,v1,v2,0
manhattan_n50_k100_d2_s4.csv,OK,1579,3683,232.313238,0,v1,v2,0
manhattan_n50_k100_d2_s5.csv,OK,1454,3585,190.663932,0,v1,v2,0
manhattan_n50_k100_d2_s6.csv,OK,1796,4181,321.419252,0,v1,v2,0
manhattan_n50_k100_d2_s7.csv,OK,1445,3658,184.037183,0,v1,v2,0
manhattan_n50_k100_d2_s8.csv,OK,1451,3540,192.711915,0,v1,v2,0
manhattan_n50_k100_d2_s9.csv,OK,1515,3620,212.288754,0,v1,v2,0
manhattan_n50_k100_d2_s10.csv,OK,1551,3692,226.662185,0,v1,v2,0

manhattan_n50_k160_d2_s1.csv,OK,1842,4060,491.223885,0,v1,v2,0
manhattan_n50_k160_d2_s2.csv,TIMEOUT,,,604.909329,,,,
manhattan_n50_k160_d2_s3.csv,OK,1789,4105,463.504657,0,v1,v2,0
manhattan_n50_k160_d2_s4.csv,TIMEOUT,,,636.536425,,,,
manhattan_n50_k160_d2_s5.csv,OK,1843,4112,481.427182,0,v1,v2,0
manhattan_n50_k160_d2_s6.csv,OK,2034,4390,599.548449,0,v1,v2,0
manhattan_n50_k160_d2_s7.csv,OK,1997,4352,580.307486,0,v1,v2,0
manhattan_n50_k160_d2_s8.csv,OK,1919,4327,528.773160,0,v1,v2,0
manhattan_n50_k160_d2_s9.csv,TIMEOUT,,,647.289032,,,,
manhattan_n50_k160_d2_s10.csv,TIMEOUT,,,637.767066,,,,

manhattan_n50_k320_d2_s1.csv,TIMEOUT,,,600.572112,,,,
manhattan_n50_k320_d2_s2.csv,TIMEOUT,,,600.482619,,,,
manhattan_n50_k320_d2_s3.csv,TIMEOUT,,,603.756777,,,,
manhattan_n50_k320_d2_s4.csv,TIMEOUT,,,600.903823,,,,
manhattan_n50_k320_d2_s5.csv,TIMEOUT,,,601.674112,,,,
manhattan_n50_k320_d2_s6.csv,TIMEOUT,,,607.580644,,,,
manhattan_n50_k320_d2_s7.csv,TIMEOUT,,,603.598943,,,,
manhattan_n50_k320_d2_s8.csv,TIMEOUT,,,602.520228,,,,
manhattan_n50_k320_d2_s9.csv,TIMEOUT,,,600.236364,,,,
manhattan_n50_k320_d2_s10.csv,TIMEOUT,,,601.827149,,,,

manhattan_n50_k640_d2_s1.csv,TIMEOUT,,,652.241227,,,,
